Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
21-25,Yes,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will not enroll for the school year
Age 11 to 20,Yes,Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,School Essentials/Supplies;Daily Needs (Goods),College,Online classes,No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Face-to-face classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,School Essentials/Supplies;Cash,College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,School Essentials/Supplies;Daily Needs (Goods),College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
21-25,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;Financial Problems,I will enroll for the school year
21-25,No,Cash,College,Face-to-face classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will not enroll for the school year
26 and above,Yes,School Essentials/Supplies,Junior High,Online classes,Financial Problems,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Face-to-face classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will not enroll for the school year
21-25,No,"No, I haven't receive anything.",College,Online classes,"No, I haven't encountered anything.",I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,School Essentials/Supplies;Daily Needs (Goods);Cash,College,Online classes,Financial Problems;Overlapping duties,I will not enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Financial Problems,I will not enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Online classes,"Slow Internet Connection;Overlapping duties;No, I haven't encountered anything.",I will not enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;Overlapping duties,I will not enroll for the school year
Age 11 to 20,No,School Essentials/Supplies,College,Face-to-face classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Online classes,Financial Problems;No device to be used,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No Internet Access,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;No Internet Access;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No Internet Access;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,Senior High,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
21-25,No,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,School Essentials/Supplies;Cash,College,Online classes,Slow Internet Connection;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Online classes,No Internet Access;Financial Problems;No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Cash,College,Online classes,Slow Internet Connection;No Internet Access;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),Senior High,Face-to-face classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will not enroll for the school year
Age 11 to 20,No,Cash,Senior High,Online classes,Slow Internet Connection;Overlapping duties,I will not enroll for the school year
Age 11 to 20,No,Cash,College,Online classes,Slow Internet Connection;No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,No Internet Access;Financial Problems;Overlapping duties,I will enroll for the school year
21-25,No,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Online classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will not enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),Senior High,Online classes,Financial Problems,I will enroll for the school year
Age 11 to 20,No,Cash,Junior High,Online classes,Financial Problems,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",Junior High,Face-to-face classes,No Internet Access;Overlapping duties,I will not enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",Junior High,Online classes,No Internet Access,I will not enroll for the school year
21-25,No,"No, I haven't receive anything.",College,Online classes,"No, I haven't encountered anything.",I will enroll for the school year
21-25,No,Daily Needs (Goods),Senior High,Face-to-face classes,Financial Problems,I will not enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",College,Face-to-face classes,"No, I haven't encountered anything.",I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),Senior High,Face-to-face classes,No Internet Access;Financial Problems,I will enroll for the school year
Age 11 to 20,Yes,School Essentials/Supplies;Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;No device to be used,I will enroll for the school year
Age 11 to 20,Yes,School Essentials/Supplies;Daily Needs (Goods);Cash,College,Face-to-face classes,Overlapping duties,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Financial Problems,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Face-to-face classes,"No, I haven't encountered anything.",I will enroll for the school year
21-25,Yes,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;No Internet Access,I will enroll for the school year
21-25,Yes,Cash,College,Face-to-face classes,No device to be used;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods),Senior High,Face-to-face classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),Senior High,Face-to-face classes,Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",Senior High,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",Junior High,Face-to-face classes,Slow Internet Connection,I will enroll for the school year
21-25,Yes,"No, I haven't receive anything.",College,Face-to-face classes,Financial Problems,I will not enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",Junior High,Face-to-face classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,Yes,"No, I haven't receive anything.",Senior High,Face-to-face classes,Slow Internet Connection,I will enroll for the school year
21-25,No,"No, I haven't receive anything.",Senior High,Online classes,"No, I haven't encountered anything.",I will not enroll for the school year
Age 11 to 20,No,"No, I haven't receive anything.",Senior High,Face-to-face classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
21-25,No,Daily Needs (Goods),College,Face-to-face classes,Slow Internet Connection;Financial Problems,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems;Overlapping duties,I will enroll for the school year
Age 11 to 20,No,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Overlapping duties,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;No device to be used,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods);Cash,College,Online classes,Slow Internet Connection;Financial Problems,I will enroll for the school year
Age 11 to 20,Yes,Cash,College,Online classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,Yes,Cash,College,Online classes,Slow Internet Connection,I will enroll for the school year
Age 11 to 20,Yes,Daily Needs (Goods),College,Online classes,Slow Internet Connection,I will enroll for the school year
